Headlines,Sentiment,Label,,,
"Apple Stock Soars on Earnings Beat. It’s All About the iPhone, Again.",Positive,1,,,
Tesla Stock Falls After Elon Musk Names New Twitter CEO,Negative,3,,,
"Amazon stock hits a new all-time high as it sees unprecedented demand",Positive,1,,,
Apple stock touches all-time high amid big plans at developer conference,Positive,1,,,
"Tesla shares have fallen 28% since Elon Musk took over Twitter, lagging other carmakers",Negative,3,,,
Meta stock jumps after company reports first revenue growth in nearly a year,Positive,1,,,
Stranger Things' Return Isn't Boosting Netflix Subscriber Count: Analyst ,Positive,1,,,
Amazon Shares Gain More Than 6% After First-Quarter Profit Beats Estimates,Positive,1,,Positive,1
Meta Stock Crash Steepens As Facebook Parent Grapples With Recession Fears,Negative,3,,Neutral,2
Alphabet shares fall 7% following Google’s A.I. event,Negative,3,,Negative,3
"Microsoft Shares Move Higher On Earnings Beat, CEO Says Company Is Platform Of Choice For 'Next Generation",Positive,1,,Positive ,1
Johnson And Johnson Stock Slips After Missing The Mark For Earnings,Negative,3,,Neutral ,2
Bank of America Drops on Earnings Miss,Positive,1,,Negative ,3
Bank of America Misses Estimates but the Stock Rises on Upbeat Guidance,Positive,1,,,
Alphabet shares fall sharply after Google’s AI chatbot debut stumbles,Negative,3,,,
Wells Fargo stock up after it beats profit and revenue marks,Positive,1,,,
JPMorgan Falls as US Slowdown Weighs on Key Revenue Forecast,Negative,3,,,
"Microsoft to acquire Activision Blizzard to bring the joy and community of gaming to everyone, across every device",Positive,1,,,
"BD (BDX) Q2 Earnings Surpass Estimates, FY23 View Revised",Positive,1,,,
Berkshire to buy insurer Alleghany for $11.6 billion in Warren Buffett’s biggest deal in years,Positive,1,,,
"Citigroup profit rises and beats analyst forecasts, shares rise",Positive,1,,,
Bank of America CEO Moynihan pay falls in 2022,Negative,3,,,
Morgan Stanley Stock Rises After Earnings Beat Forecasts,Positive,1,,,
Wells Fargo to Pay $1 Billion to Settle Lawsuit by Shareholders,Negative,3,,,
